over,ball,runs,extra,bowler,batsman,shot_direction
19,5,1,,Arshdeep Singh,Bhuvneshwar Kumar,Long On
19,4,0,,Arshdeep Singh,Yash Dayal,Straight Long-On
19,3,1,,Arshdeep Singh,Krunal Pandya,Long On
19,2,0,,Arshdeep Singh,Bhuvneshwar Kumar,Back Pad (LBW)
19,1,1,,Arshdeep Singh,Romario Shepherd,Forward Point
18,6,6,,Arshdeep Singh,Krunal Pandya,Long-On
18,5,4,,Azmatullah Omarzai,Romario Shepherd,Fine Leg
18,4,1,,Azmatullah Omarzai,Romario Shepherd,Fine Leg
18,3,1,,Azmatullah Omarzai,Krunal Pandya,Country
18,2,1,,Azmatullah Omarzai,Romario Shepherd,Extra Covers
18,1,1,,Azmatullah Omarzai,Krunal Pandya,Deep Covers
17,6,1,,Azmatullah Omarzai,Romario Shepherd,Forward Push
17,5,1,,Vyshak Vijaykumar,Romario Shepherd,Forward Push
17,4,0,,Vyshak Vijaykumar,Krunal Pandya,Stumps (Bowled)
17,3,0,,Vyshak Vijaykumar,Jitesh Sharma,Defensive Push
17,2,1,,Vyshak Vijaykumar,Jitesh Sharma,Mid-Wicket
17,1,2,,Vyshak Vijaykumar,Romario Shepherd,Mid-Wicket
16,6,1,,Vyshak Vijaykumar,Romario Shepherd,Extra Covers
16,5,0,,Kyle Jamieson,Romario Shepherd,Stumps (LBW)
16,5,1,WD,Kyle Jamieson,Liam Livingstone,Scoop (Wide)
16,4,6,,Kyle Jamieson,Liam Livingstone,Mid-Wicket
16,4,1,WD,Kyle Jamieson,Liam Livingstone,Mid-Wicket (Wide)
16,3,1,,Kyle Jamieson,Liam Livingstone,Extra Covers
16,2,6,,Kyle Jamieson,Jitesh Sharma,Long-Off
16,2,1,WD,Kyle Jamieson,Jitesh Sharma,Long-Off (Wide)
16,1,6,,Kyle Jamieson,Jitesh Sharma,Deceptive Scoop
15,6,2,,Kyle Jamieson,Jitesh Sharma,Deep Mid-Wicket
15,5,1,,Arshdeep Singh,Liam Livingstone,Deep Leg
15,4,4,,Arshdeep Singh,Jitesh Sharma,Covers
15,3,4,,Arshdeep Singh,Jitesh Sharma,Fine Leg
15,2,1,,Arshdeep Singh,Jitesh Sharma,Fine Leg
15,1,1,,Arshdeep Singh,Liam Livingstone,Deep Mid-Wicket
14,6,1,,Arshdeep Singh,Jitesh Sharma,Mid-Off
14,5,0,,Azmatullah Omarzai,Jitesh Sharma,Stumps (Caught)
14,4,1,,Azmatullah Omarzai,Virat Kohli,Diving Catch (Long-On)
14,4,1,WD,Azmatullah Omarzai,Liam Livingstone,Long Off (Wide)
14,3,1,,Azmatullah Omarzai,Liam Livingstone,Mid-Off
14,2,1,,Azmatullah Omarzai,Virat Kohli,Country
14,2,1,WD,Azmatullah Omarzai,Liam Livingstone,Country (Wide)
14,1,1,,Azmatullah Omarzai,Liam Livingstone,Country
13,6,1,,Azmatullah Omarzai,Virat Kohli,Wide Long-On
13,5,1,,Yuzvendra Chahal,Virat Kohli,Long On
13,4,1,,Yuzvendra Chahal,Liam Livingstone,Long Off
13,3,4,,Yuzvendra Chahal,Virat Kohli,Mid-Wicket
13,2,1,,Yuzvendra Chahal,Virat Kohli,Mid-Wicket
13,1,6,,Yuzvendra Chahal,Liam Livingstone,Long-On
12,6,1,,Yuzvendra Chahal,Liam Livingstone,Long Off
12,5,1,,Vyshak Vijaykumar,Liam Livingstone,Long Off
12,5,1,WD,Vyshak Vijaykumar,Virat Kohli,Deep Mid-Wicket (Wide)
12,4,1,,Vyshak Vijaykumar,Virat Kohli,Country
12,4,1,WD,Vyshak Vijaykumar,Liam Livingstone,Deep Mid-Wicket (Wide)
12,3,1,,Vyshak Vijaykumar,Liam Livingstone,Country
12,2,1,,Vyshak Vijaykumar,Virat Kohli,Country
12,1,1,,Vyshak Vijaykumar,Liam Livingstone,Deep Covers
11,6,1,,Vyshak Vijaykumar,Virat Kohli,Long-On
11,5,2,,Yuzvendra Chahal,Virat Kohli,Country
11,4,0,,Yuzvendra Chahal,Virat Kohli,Defensive Push
11,3,1,,Yuzvendra Chahal,Virat Kohli,Deep Covers
11,2,1,,Yuzvendra Chahal,Liam Livingstone,Deep Covers
11,1,1,,Yuzvendra Chahal,Virat Kohli,Long-On
10,6,1,,Yuzvendra Chahal,Liam Livingstone,Long Off
10,5,0,,Kyle Jamieson,Liam Livingstone,Stumps (LBW)
10,4,0,,Kyle Jamieson,Rajat Patidar,Beaten Outside Off
10,3,6,,Kyle Jamieson,Rajat Patidar,Long-Off
10,2,2,,Kyle Jamieson,Rajat Patidar,Straight Fine Leg
10,1,1,,Kyle Jamieson,Rajat Patidar,Deep Backward Square Leg
9,6,0,,Kyle Jamieson,Virat Kohli,Stumps (Caught)
9,5,1,,Azmatullah Omarzai,Rajat Patidar,Country
9,4,4,,Azmatullah Omarzai,Virat Kohli,Third Man
9,3,1,,Azmatullah Omarzai,Virat Kohli,Third Man
9,2,0,,Azmatullah Omarzai,Rajat Patidar,Square Leg
9,1,1,,Azmatullah Omarzai,Rajat Patidar,Country
8,6,1,,Azmatullah Omarzai,Virat Kohli,Deep Mid-Off
8,5,1,,Yuzvendra Chahal,Virat Kohli,Long-On
8,4,2,,Yuzvendra Chahal,Rajat Patidar,Long-On
8,3,6,,Yuzvendra Chahal,Rajat Patidar,Mid-Wicket
8,2,1,,Yuzvendra Chahal,Rajat Patidar,Mid-Wicket
8,1,0,,Yuzvendra Chahal,Virat Kohli,Deep Short Mid-Off
7,6,1,,Yuzvendra Chahal,Virat Kohli,Deep Mid-Wicket
7,5,1,,Vyshak Vijaykumar,Virat Kohli,Deep Covers
7,4,1,,Vyshak Vijaykumar,Rajat Patidar,Mid-Off
7,3,1,,Vyshak Vijaykumar,Virat Kohli,Covers
7,2,0,,Vyshak Vijaykumar,Rajat Patidar,Fine Leg
7,1,4,,Vyshak Vijaykumar,Rajat Patidar,Point
6,6,1,,Vyshak Vijaykumar,Rajat Patidar,Deep Covers
6,5,1,,Yuzvendra Chahal,Rajat Patidar,Deep Mid-Wicket
6,4,2,,Yuzvendra Chahal,Virat Kohli,Deep Forward Point
6,3,1,,Yuzvendra Chahal,Virat Kohli,Straight Mid-Off
6,2,0,,Yuzvendra Chahal,Rajat Patidar,Deep Square Leg
6,1,1,,Yuzvendra Chahal,Mayank Agarwal,Deep Covers
5,6,0,,Yuzvendra Chahal,Virat Kohli,Deep Mid-On
5,5,2,,Vyshak Vijaykumar,Mayank Agarwal,Country
5,4,4,,Vyshak Vijaykumar,Mayank Agarwal,Deep Sweeper Cover
5,3,2,,Vyshak Vijaykumar,Mayank Agarwal,Deep Sweep Cover
5,2,1,,Vyshak Vijaykumar,Mayank Agarwal,Covers
5,1,0,,Vyshak Vijaykumar,Virat Kohli,Stumps (LBW)
4,6,1,,Vyshak Vijaykumar,Virat Kohli,Deep Mid-Wicket
4,5,2,,Azmatullah Omarzai,Virat Kohli,Deep Extra Covers
4,4,1,,Azmatullah Omarzai,Virat Kohli,Covers
4,3,1,,Azmatullah Omarzai,Mayank Agarwal,Covers
4,2,1,,Azmatullah Omarzai,Virat Kohli,Fine Leg
4,1,1,,Azmatullah Omarzai,Mayank Agarwal,Extra Covers
3,6,0,,Azmatullah Omarzai,Virat Kohli,Covers
3,5,0,,Kyle Jamieson,Mayank Agarwal,Covers
3,4,0,,Kyle Jamieson,Mayank Agarwal,Beaten Outside Off
3,3,4,,Kyle Jamieson,Mayank Agarwal,Point
3,2,1,,Kyle Jamieson,Mayank Agarwal,Point
3,1,4,,Kyle Jamieson,Virat Kohli,Fine Leg
2,6,6,,Kyle Jamieson,Virat Kohli,Fine Leg
2,5,0,,Arshdeep Singh,Mayank Agarwal,Stumps (Caught)
2,5,1,WD,Arshdeep Singh,Mayank Agarwal,Mid-Wicket
2,4,1,,Arshdeep Singh,Mayank Agarwal,Mid-Off
2,3,1,,Arshdeep Singh,Virat Kohli,Mid-Off
2,2,0,,Arshdeep Singh,Mayank Agarwal,Point
2,1,2,,Arshdeep Singh,Mayank Agarwal,Deep Covers
1,6,1,,Arshdeep Singh,Mayank Agarwal,Covers
1,5,0,,Kyle Jamieson,Mayank Agarwal,Beaten Outside Off
1,4,0,,Kyle Jamieson,Mayank Agarwal,Stumps (Caught)
1,3,0,,Kyle Jamieson,Phil Salt,Defensive Push
1,2,4,,Kyle Jamieson,Phil Salt,Mid-On
1,1,1,,Kyle Jamieson,Phil Salt,Deep Forward Point
0,6,0,,Kyle Jamieson,Virat Kohli,Point
0,5,4,,Arshdeep Singh,Phil Salt,Fine Leg
0,4,2,,Arshdeep Singh,Phil Salt,Country
0,3,6,,Arshdeep Singh,Phil Salt,Fine Leg
0,2,0,,Arshdeep Singh,Phil Salt,Extra Covers
0,1,0,,Arshdeep Singh,Phil Salt,Covers
0,1,1,WD,Arshdeep Singh,Phil Salt,Wide Flick
